VisualVHazimuth,VisualVHelevation,VisualRealazimuth,VisualRealelevation,AccousticVHmdnoLSazimuth,AccousticVHmdnoLSelevation,accousticVirtualHmdLaserazimuth,accousticVirtualHmdLaserelevation,accousticVHmdazimuth,accousticVHmdelevation,accousticRealazimuth,accousticRealelevation,accousticBlindHmdazimuth,accousticBlindHmdelevation,accousticBlindazimuth,accousticBlindelevation,VisualVHazTotal,VisualVHelTotal,VisualRealazTotal,VisualRealelTotal,accVirHmdNoLsaztotal,accVirHmdNoLseltotal,accousticVirtualHmdLaserazTotal,accousticVirtualHmdLaserelTotal,accVirHmdazTotal,accVirHmdelTotal,accRealazTotal,accRealelTotal,accBlindHmdazTotal,accBlindHmdelTotal,accBlindazTotal,accBlindelTotal
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,64.89446702,23.34468973,69.24192109,31.08951318,69.98767915,27.49081552,60.12908554,26.62215424,64.42275681,37.87025964,63.69732346,32.68745172,55.32959046,24.06749094,71.97890534,26.46787393
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,58.59226368,24.22967936,64.65840672,32.4611323,78.23861836,43.37260843,59.55397797,24.523592,59.14429997,27.301224,63.65926503,30.654629,69.08599995,32.51279474,52.19139622,16.33296229
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,61.81103213,26.06804599,60.96889575,29.38729038,67.38600619,29.13766422,59.96231842,27.70155716,61.41599353,22.69166507,61.91246493,27.51839771,79.59084018,18.25484027,67.69342502,16.34041156
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,62.71575729,24.12576514,61.53934662,30.18602972,77.99853698,35.20654898,60.19522095,28.32192993,61.3195285,24.52538138,61.27651397,28.56571417,76.37368194,30.69926672,84.83104126,42.72064047
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,62.51489237,22.7437517,64.67372873,33.69535082,95.45597818,26.75413149,65.69729614,24.67932129,62.12425974,19.15570849,62.69155481,36.65296953,86.66874674,18.4853937,94.56054666,40.48781984
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,59.16278816,17.53142937,63.45215584,38.63623436,69.6775663,17.53182991,72.59831238,27.24833298,87.92440773,21.81889351,75.96208168,39.7862893,66.31145455,11.68122872,80.72454811,35.85718163
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,95.04197408,23.24551158,100.1715746,37.3588882,84.32568837,7.836806822,89.30429077,27.59689713,88.09460927,20.8778091,85.37019826,23.47297816,79.19784261,40.6461349,84.81039144,20.81079631
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,93.61029253,25.561988,98.46615801,24.44200815,98.81298265,15.60437692,69.32431793,24.57432747,68.99572191,16.06045831,91.1293355,28.88907159,76.51038561,11.51486123,70.70493517,21.40605462
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,94.86799874,27.67214457,94.26619973,26.9497172,91.17282357,17.53713671,88.97933197,26.00234222,67.12252297,33.58355586,93.97611489,28.30866877,94.84820046,7.452978768,91.30193581,14.17144648
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,97.65060312,35.08322718,92.52422219,29.70478251,81.43455392,20.50485041,89.29305267,27.89600563,97.08780557,26.26663401,85.06870157,27.60780528,85.1969288,17.1834698,105.7746571,15.27155688
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,94.01518311,26.92528665,101.0064398,23.24834192,83.46109834,21.21099222,90.09161377,28.01272583,95.23227754,32.86275613,98.51632752,31.78719843,86.02922883,14.9935087,71.64438691,27.6871351
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,94.74903248,26.97935129,92.3922057,30.04676462,81.50449513,25.46084238,89.30374908,26.47139931,57.90062092,23.72298456,94.0570998,31.3787768,97.38977192,40.13563944,74.18357228,30.55572916
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,91.99601443,23.137401,88.56116946,32.16569461,89.47271426,29.13900318,90.08429718,28.05060768,91.17557986,27.05176868,88.92042239,34.15740146,90.02150424,8.565646548,87.28966983,7.420401949
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,91.68976776,27.39270621,90.64685241,32.34933691,104.1491107,17.39958411,90.36643982,28.74917221,77.8426532,30.19660788,91.3916568,31.67534094,93.19394867,20.3390296,102.95022,16.80692511
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,91.7747648,30.31427401,100.2760313,33.0897333,95.43113687,22.3241617,88.34450531,28.69427109,91.26537302,21.4547159,94.59542825,33.50756853,94.41029337,12.89638155,119.26593,29.38143557
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,93.00967384,12.20341118,97.2726667,36.67661675,91.83476235,16.5558091,78.78936768,25.6784687,93.98439766,13.59462746,83.86342598,39.5610772,87.49040199,-1.372045436,88.71245552,19.17708596
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-91.77221202,-3.947407198,-88.49946879,1.181075621,-84.07540416,-5.946029138,-88.3657074,-1.700365543,-90.76693248,0.53123622,-91.19408702,8.94384532,-89.02639293,11.38258319,-94.14119242,-6.706072283
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-91.27570906,-2.577545992,-91.68147841,14.00163568,-83.73362532,-4.110356203,-89.19020844,0.350699335,-95.13010969,-2.849900118,-87.79591932,20.50339044,-95.53861036,-1.651432863,-74.04258528,0.260562071
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-92.32302604,-3.398218475,-94.67485557,7.016186395,-90.63671623,-4.90069612,-90.42964935,-0.06723994,-93.1815084,1.619688668,-91.00071464,1.623759904,-109.2020391,-8.539739452,-96.40835319,-7.187409721
